name,ra,dec,time,fluence
4B 950608,57.56,-53.6,49876.94065,0.000010569
GRB 990706-,278.63,-53.57,51365.85525,1.88E-06
GRB 961125,304.69,-53.52,50412.31918,NaN
GRB 990716-,282.78,-53.47,51375.16668,1.53E-06
4B 910701,61.35,-53.42,48438.16087,9.96E-07
4B 910802-,199.57,-53.42,48470.63978,7.83E-07
4B 950917-,292.87,-53.35,49977.81441,NaN
GRB 990713-,319.31,-53.29,51372.15066,NaN
GRB 970404-,73.65,-53.28,50542.72929,NaN
4B 921123-,334.24,-53.25,48949.26287,0.000022499
4B 911208-,38.15,-53.11,48598.87849,9.63E-08
GRB 980425,291.91,-53.11,50928.90913,1.00E-06
GRB 971014,284.81,-52.84,50735.22533,NaN
GRB 980202,46.24,-52.71,50846.58782,8.95E-07
4B 910502-,46.22,-52.71,48378.94263,1.91E-06
GRB 961029-,59.36,-52.62,50385.27405,0.00000211
GRB 990226-,146.48,-52.62,51235.69313,1.91E-07
GRB 980215,341.7,-52.57,50859.76711,2.43E-06
GRB 981124,342.83,-52.56,51141.83366,4.63E-08
GRB 981105,171.08,-52.44,51122.05983,6.64E-08
GRB 970315-,130.62,-52.4,50522.92618,NaN
4B 930310,284.35,-52.39,49056.30509,3.02E-06
4B 950830-,323.1,-52.34,49959.17644,2.61E-07
GRB 980526,248.01,-52.3,50959.29823,NaN
4B 941008,305.62,-52.18,49633.5645,2.55E-05
4B 960804-,281.25,-52.12,50299.81436,9.19E-08
GRB 980601,222.56,-52.1,50965.27755,8.08E-07
GRB 000131,93.96,-52.03,51574.62358,NaN
4B 921209-,332.97,-52.02,48965.48309,0.00000397
GRB 971210-,176.91,-51.95,50792.32191,1.42E-06
4B 920520-,190.03,-51.94,48762.32012,1.14E-06
4B 930820,153.05,-51.88,49219.01289,8.73E-08
4B 920824,228.59,-51.79,48858.45351,NaN
GRB 981231-,335.68,-51.75,51178.96412,6.32E-08
GRB 970827,134.65,-51.64,50687.41378,1.41E-05
4B 920222,257.72,-51.59,48674.37869,8.28E-08
4B 960430,11.8,-51.49,50203.57739,2.12E-06
4B 911111-,63.97,-51.37,48571.60924,5.10E-07
4B 910805,313.27,-51.3,48473.44544,2.98E-07
4B 950914-,45.54,-51.27,49974.08884,NaN
4B 920130-,7.75,-51.06,48651.02057,3.32E-06
4B 920229-,191.36,-51.06,48681.80645,2.96E-07
4B 950129-,346.65,-50.9,49746.9198,1.02E-07
4B 910522,137.72,-50.89,48398.50845,8.15E-06
4B 910526-,30.54,-50.71,48402.19387,3.40E-08
4B 931128-,110.14,-50.66,49319.21379,4.16E-07
4B 930711-,251.05,-50.56,49179.99578,0.000003595
4B 911223,336.99,-50.42,48613.234,1.23E-07
4B 960803-,338.02,-50.13,50298.78151,1.12E-07
GRB 980404-,69.24,-49.95,50907.70255,1.05E-07
4B 920708,308.34,-49.91,48811.55787,NaN
4B 940726,6.56,-49.89,49559.61098,0.000000693
4B 931215-,7.71,-49.87,49336.25854,2.34E-08
4B 940806-,26.75,-49.85,49570.82176,9.65E-06
4B 950206-,241.65,-49.69,49754.8234,4.41E-06
GRB 990305-,155.09,-49.48,51242.77097,5.65E-08
4B 911113,340.32,-49.46,48573.57065,1.90E-08
4B 950627,242.27,-49.37,49895.65715,NaN
4B 930819,105.77,-49.28,49218.67293,1.10E-06
4B 941228,353.78,-49.23,49714.31923,1.17E-05
4B 951016-,118.99,-49.09,50006.82881,0.000001442
4B 940728-,42.57,-49.08,49561.1219,NaN
GRB 990213-,275.09,-49.06,51222.29175,3.93E-07
4B 930724-,50.05,-49.04,49192.69892,NaN
4B 920511-,125.04,-48.96,48753.26904,5.19E-06
GRB 961029-,59.79,-48.89,50385.28184,NaN
4B 920413,109.73,-48.89,48725.95523,1.29E-06
4B 911101,74.53,-48.8,48561.11729,7.84E-08
4B 930204-,148.42,-48.75,49022.93946,1.10E-07
4B 920325-,293.7,-48.68,48706.54037,3.30E-07
4B 940715-,214.87,-48.67,49548.95515,NaN
4B 930401-,203.1,-48.61,49078.26496,NaN
4B 950117-,294.07,-48.6,49734.64592,NaN
4B 960814,192.49,-48.55,50309.68111,1.75E-06
4B 931225-,13.49,-48.4,49346.21037,NaN
GRB 971008,38.09,-48.39,50729.15606,NaN
4B 940901,54.83,-48.32,49596.89065,NaN
4B 921115,306.44,-48.31,48941.82601,2.87E-07
4B 920802,101.35,-48.26,48836.19125,3.36E-07
4B 930817,88.97,-48.25,49216.20048,NaN
GRB 980312,142.76,-48.24,50884.95107,9.76E-07
4B 941018-,6.09,-48.15,49643.54735,NaN
GRB 980309-,310.23,-48.06,50881.005,2.20E-07
4B 940419-,359.86,-47.95,49461.79928,NaN
4B 960319,94.84,-47.72,50161.60177,7.43E-07
4B 951104-,189.39,-47.72,50025.73268,3.10E-08
GRB 990505,227.69,-47.68,51303.32717,1.20E-06
GRB 980712-,292.6,-47.67,51006.25279,3.63E-07
4B 940529-,100.93,-47.55,49501.50506,1.54E-06
GRB 991030,123,-47.52,51481.07367,3.56E-06
GRB 970831,85.75,-47.33,50691.73577,7.50E-06
GRB 990328,150.08,-47.17,51265.14179,8.15E-07
GRB 990404-,301.27,-47.16,51272.46342,3.15E-08
4B 950517,20.82,-47.15,49854.45574,NaN
GRB 990611-,343.2,-47.09,51340.49794,0.000001865
GRB 991009,257.27,-46.92,51460.70134,1.36E-05
4B 931016-,66.39,-46.92,49276.39184,NaN
4B 940623-,33.88,-46.88,49526.99173,9.27E-09
4B 930406-,139.63,-46.86,49083.71389,4.43E-07
4B 931113-,107.82,-46.8,49304.96344,6.79E-08
4B 930408,245.59,-46.8,49085.19325,NaN
4B 930709-,194.41,-46.73,49177.25998,4.86E-06
GRB 000502,253.94,-46.68,51666.14804,1.61E-07
4B 941121-,5.08,-46.6,49677.39286,NaN
4B 930502,254.72,-46.53,49109.57839,NaN
4B 950420,281.03,-46.47,49827.63471,2.21E-07
4B 940206-,260.41,-46.47,49389.76791,0.000001016
GRB 980718-,318.96,-46.43,51012.12392,0.000001664
GRB 000331-,19.11,-46.29,51634.29179,5.76E-07
GRB 970614-,317.35,-46.18,50613.32487,8.40E-07
4B 940812-,340.49,-46.12,49576.01924,0.000001866
4B 920618,316,-46.07,48791.90981,7.64E-07
4B 910718-,307.97,-46.03,48455.46479,7.91E-08
4B 931003,100.46,-45.96,49263.88923,1.61E-06
4B 960426,248.39,-45.95,50199.27637,2.67E-07
4B 920320-,39.35,-45.88,48701.42311,NaN
GRB 990414,238.46,-45.81,51282.77224,NaN
4B 911213,209.4,-45.74,48603.85807,9.99E-08
4B 930205,278,-45.74,49023.42397,NaN
4B 921112-,288.69,-45.72,48938.39315,NaN
4B 940604-,130.29,-45.67,49507.27739,NaN
4B 920511-,65.03,-45.6,48753.85944,NaN
4B 960623-,287.04,-45.58,50257.13934,2.92E-07
GRB 991210-,302.63,-45.58,51522.43616,1.34E-08
4B 950728,183.84,-45.56,49926.37748,NaN
GRB 980802-,178.62,-45.54,51027.18813,NaN
GRB 980306-,7.05,-45.51,50878.39795,2.12E-05
GRB 991210-,297.16,-45.45,51522.00984,NaN
GRB 970910-,316.64,-45.44,50701.05111,4.41E-07
4B 960508-,141.97,-45.44,50211.5626,7.69E-07
4B 911006,33.3,-45.44,48535.37632,1.23E-06
GRB 970624,154.68,-45.42,50623.43661,8.73E-09
4B 910424,201.31,-45.41,48370.82184,3.79E-07
4B 940424,29.8,-45.21,49466.36014,2.35E-07
GRB 971020,28.79,-45.21,50741.23454,9.32E-07
4B 940821-,334.24,-45.2,49585.18355,0.000000274
GRB 990527-,294.94,-45.16,51325.14769,2.86E-08
4B 920307,355.57,-45.15,48688.01255,2.48E-06
4B 960414,351.04,-45.14,50187.15123,0.00000375
GRB 980707-,245.77,-45.12,51001.38207,NaN
GRB 000513-,338.91,-45.11,51677.47333,2.67E-07
4B 930326-,273.52,-45.1,49072.26832,1.56E-07
4B 911209-,259.98,-45.08,48599.77498,5.48E-06
GRB 971029-,66.87,-44.97,50750.25959,2.39E-05
GRB 971212,306.69,-44.95,50794.92878,7.98E-07
GRB 980331-,191.36,-44.94,50903.70689,2.26E-07
4B 910507,299.55,-44.88,48383.60504,0.000001214
4B 920513,211.16,-44.77,48755.70346,1.55E-05
4B 951113,355.11,-44.76,50034.97634,1.53E-06
4B 960617-,310.11,-44.72,50251.15207,4.05E-07
GRB 000420-,139.06,-44.66,51654.0576,NaN
4B 920714-,140.36,-44.64,48817.84962,4.93E-07
GRB 960912-,197.61,-44.63,50338.9952,NaN
4B 920814-,258.68,-44.63,48848.25687,2.79E-06
4B 930621-,201.2,-44.61,49159.07428,0.000000493
GRB 990716-,337.26,-44.61,51375.26984,2.03E-06
GRB 970403-,73.17,-44.6,50541.00017,6.85E-08
GRB 981110,168.94,-44.6,51127.95323,5.23E-07
4B 930214-,282.83,-44.51,49032.31731,1.15E-06
4B 930526,85.85,-44.35,49133.85595,1.02E-07
GRB 970424-,266.61,-44.34,50562.33809,1.09E-07
4B 931117,348.99,-44.14,49308.91376,0.000000881
4B 931205-,247.12,-43.95,49326.44648,NaN
GRB 990126-,62.72,-43.93,51204.28129,1.27E-07
4B 940527-,29.54,-43.83,49499.54264,1.32E-07
4B 910706,256.63,-43.69,48443.21168,1.69E-07
GRB 981219,218.9,-43.61,51166.39292,5.63E-06
4B 910705-,219.79,-43.59,48442.8155,2.95E-07
4B 920620-,88.99,-43.42,48793.75918,1.01E-07
4B 951124-,117.18,-43.37,50045.45061,1.33E-08
4B 930708-,239.5,-43.34,49176.51254,3.53E-08
GRB 990128-,319.25,-43.18,51206.47069,6.33E-07
4B 931221-,91.02,-43.17,49342.09016,5.72E-06
GRB 990516-,266,-43.06,51314.97518,5.65E-07
4B 921207-,306.33,-42.93,48963.66722,2.10E-05
4B 911221,215.82,-42.72,48611.91905,9.45E-07
GRB 000126-,327.61,-42.67,51569.34435,1.78E-06
GRB 980518-,162.06,-42.49,50951.28288,0.000000342
