name,time,ra,dec,redshift,fluence
GRB 831124,45662.915,,,,0.000043
GRB 831130,45668.8601,,,,0.00018
GRB 831221,45689.63321,,,,0.00001
GRB 840110,45709.99679,,,,0.00011
GRB 840119,45718.61631,,,,0.00002
GRB 840222,45752.94785,,,,0.000027
GRB 840223,45753.76315,,,,0.0000078
GRB 840304,45763.09852,,,,0.0028
GRB 840417,45807.94266,,,,0.0000157
GRB 840425,45815.99149,,,,0.00007
GRB 840503,45823.12979,,,,0.0000064
GRB 840517,45837.42626,,,,0.00006
GRB 840524,45844.47958,,,,0.000015
GRB 840612,45863.22041,,,,0.000055
GRB 840729,45910.61588,,,,0.0000024
GRB 840805A,45917.39591,,,,0.0000318
GRB 840805B,45917.98578,,,,0.0007
GRB 840805C,45917.99166,,,,0.000294
GRB 840818,45930.59353,,,,0.0001
GRB 840820A,45932.07818,,,,0.00035
GRB 840820B,45932.08368,,,,0.0000564
GRB 840823,45935.52156,,,,0.0011
GRB 840902,45945.84603,,,,0.000015
GRB 840908,45951.82836,,,,0.0001
GRB 840916,45959.32987,,,,0.00004
GRB 840917A,45960.78149,,,,0.000195
GRB 840917B,45960.78638,,,,0.0000223
GRB 840921,45964.46169,,,,0.00036
GRB 841015,45988.95579,,,,0.0001
GRB 841103,46007.1537,,,,0.0000031
GRB 841105,46009.70998,,,,0.0000078
GRB 841114,46018.16752,,,,0.000115
GRB 841114,46018.16786,,,,0.000115
GRB 841119,46023.93925,,,,0.0000049
GRB 841125,46029.38063,,,,0.00004
GRB 841125,46029.38075,,,,0.00004
GRB 841205,46039.06154,,,,0.0000567
GRB 841209,46043.30249,,,,0.000045
GRB 841209,46043.30594,,,,0.000045
GRB 841211,46045.72321,,,,0.000032
GRB 841215,46049.34789,,,,0.00029
GRB 850101,46066.35828,,,,0.0000016
GRB 850213,46109.92067,,,,0.0000039
GRB 850227,46123.04608,,,,0.000135
GRB 850227,46123.04429,,,,0.000135
GRB 850306,46130.50309,,,,0.000065
GRB 850306,46130.5052,,,,0.000065
GRB 850315,46139.87966,,,,0.0000088
GRB 850318,46142.41319,,,,0.00028
GRB 850404,46159.55663,,,,0.000093
GRB 850405,46160.41373,,,,0.0000064
GRB 850408,46163.72428,,,,0.0000095
GRB 850423,46178.45265,,,,0.000025
GRB 850517,46202.16578,,,,0.0001
GRB 850601A,46217.49873,,,,0.0000076
GRB 850601B,46217.75292,,,,0.000018
GRB 850610,46226.96373,,,,0.00013
GRB 850615,46231.04544,,,,0.000048
GRB 850618,46234.33778,,,,0.0000198
GRB 850624,46240.66152,,,,0.002
GRB 850711,46257.55205,,,,0.00007
GRB 850712,46258.71789,,,,0.000047
GRB 850718A,46264.02814,,,,0.0000054
