name,ra,dec,time_x,fluence,redshift
GRB 060928,127.62625,-42.74939,2006-09-28T01:17:02.782,,1.3
GRB 060929,263.12071,29.83511,2006-09-29T19:55:01.052660,0.000000286,
GRB 061002,220.348,48.74136,2006-10-02T01:03:29.592060,0.000000858,
GRB 061004,97.79504,-45.90672,2006-10-04T19:50:30.514260,0.000000569,
GRB 061006,111.0315,-79.19875,2006-10-06T16:45:50.510340,0.00000143,0.4377
GRB 061007,46.33167,-50.50067,2006-10-07T10:08:08.812840,0.000045,1.2622
GRB 061019,91.62854,29.57036,2006-10-19T04:19:06.964420,0.00000244,
GRB 061021,145.1505,-21.9515,2006-10-21T15:39:07.663300,0.00000301,0.3463
GRB 061025,300.90458,-48.24361,2006-10-25T18:35:50,,
GRB 061027,270.876,-82.24,2006-10-27T10:15:02.467300,0.000000289,
GRB 061028,97.2275,46.29886,2006-10-28T01:26:22.466000,0.000000949,0.76
GRB 061102,148.40746,-17.02483,2006-11-02T01:00:31.223660,0.000000276,
GRB 061110A,336.29083,-2.25853,2006-11-10T11:47:21.318140,0.00000113,0.7578
GRB 061110B,323.91833,6.87614,2006-11-10T21:58:45.541260,0.00000135,3.4344
GRB 061121,147.22729,-13.19511,2006-11-21T15:22:29.006780,0.0000139,1.3145
GRB 061122,303.83267,15.51736,2006-11-22T07:56:45,,
GRB 061126,86.60178,64.21077,2006-11-26T08:47:56.420860,0.00000661,1.1588
GRB 061201,332.1337,-74.57974,2006-12-01T15:58:36.821720,0.000000341,
GRB 061202,105.52525,-74.69853,2006-12-02T08:11:44.696300,0.00000345,
GRB 061210,144.52146,15.62103,2006-12-10T12:20:39.551180,0.00000109,0.4095
GRB 061217,160.40604,-21.12508,2006-12-17T03:40:08.217280,4.29E-08,0.827
GRB 061218,149.247,-35.222,2006-12-18T04:05:05.815160,0.000000043,
GRB 061222A,358.26425,46.53294,2006-12-22T03:28:52.110840,0.00000812,2.088
