name,ra,dec,time,fluence
GRB080812889,176.7,-33.2,54690.88859,2.45E-06
GRB131209547,136.5,-33.2,56635.54719,0.000013674
GRB141229492,72.4283,-19.2328,57020.49236,5.60E-06
GRB120916085,82.04,-19.22,56186.08491,7.33E-08
GRB160818198,104.3,-19.22,57618.19783,1.68E-06
GRB090426066,17.6,-19.2,54947.06638,6.77E-07
GRB131014215,100.5,-19.1,56579.21459,0.00019793
GRB130514560,147.6,-18.97,56426.5601,2.27E-06
GRB091127976,36.5829,-18.9524,55162.97622,0.000020729
GRB140717827,168.48,-18.94,56855.82707,5.79E-06
GRB131123543,53.24,-20.88,56619.54303,4.08E-07
GRB150422703,215.1,-20.86,57134.70317,0.000029897
GRB130909817,198.18,-20.79,56544.81677,0.000001977
GRB151229285,329.37,-20.7325,57385.28505,1.11E-06
GRB141223240,147.38,-20.71,57014.24002,1.82E-06
GRB130507545,319.74,-20.53,56419.54488,4.27E-06
GRB160925221,348.37,-20.42,57656.22149,2.32E-06
GRB150904479,67.08,-20.38,57269.47941,1.03E-06
GRB150604434,72.44,-21.59,57177.43384,3.97E-07
GRB120805706,30.13,-21.51,56144.70581,1.88E-07
GRB100727238,154.166,-21.364,55404.23775,1.06E-06
GRB150630223,116.81,-21.31,57203.22276,0.000010775
GRB100107074,6.31,-21.24,55203.07398,1.68E-07
GRB130707505,54.45,-21.04,56480.50543,0.000010461
GRB150912443,248.443,-21.0338,57277.44281,3.43E-06
GRB101216721,284.27,-20.97,55546.72075,3.04E-06
GRB100204858,91.29,-20.94,55231.85838,3.15E-07
GRB160819852,114.139,-22.347,57619.85249,0.000016877
GRB130722990,352.41,-22.31,56495.99041,5.99E-07
GRB130219197,169.29,-22.25,56342.19731,0.000031857
GRB100730463,339.79,-22.23,55407.46267,6.06E-06
GRB160123095,314.22,-22.18,57410.09543,8.96E-07
GRB111203609,242.83,-22.15,55898.60886,6.95E-07
GRB130606497,218.574,-22.131,56449.49692,0.00020087
GRB111230819,242.61,-22.12,55925.81912,3.51E-06
GRB160315739,319.91,-22.11,57462.73947,3.05E-07
GRB160222070,309.58,-23.77,57440.07041,1.27E-06
GRB101021009,0.87,-23.71,55490.00932,0.000022305
GRB091026485,137.08,-23.65,55130.48528,5.67E-07
GRB080831921,259.1,-23.2,54709.9211,8.47E-06
GRB100826957,284,-23.19,55434.95721,0.00016388
GRB120102416,341.15,-23.16,55928.41599,2.55E-06
GRB080805584,174.5,-23.1,54683.5841,4.38E-06
GRB091018957,321.83,-23.08,55122.95718,1.81E-07
GRB090514726,304.3167,-24.4,54965.72647,2.25E-06
GRB090228204,106.8,-24.3,54890.20371,6.19E-06
GRB110909116,347.34,-24.22,55813.11595,0.000049196
GRB100704149,133.636,-24.216,55381.14938,0.000010399
GRB120504945,200.28,-24.2,56051.94454,1.67E-06
GRB131119781,47.96,-24.01,56615.78111,1.85E-06
GRB090307167,172.7,-23.9,54897.16663,1.09E-06
GRB110828575,110.58,-23.81,55801.57517,0.000002721
GRB100929916,183.03,-24.94,55468.9165,7.61E-07
GRB140511995,26.25,-24.91,56788.99525,0.000006746
GRB130604033,292.18,-24.86,56447.03346,0.000017465
GRB100130729,21.19,-24.75,55226.72875,8.57E-06
GRB120412055,29.44,-24.67,56029.05465,1.25E-06
GRB151202565,326.49,-24.67,57358.56516,6.98E-07
GRB140711691,166.01,-24.6,56849.69126,2.39E-06
GRB081221681,15.8,-24.5,54821.68139,0.000030037
GRB101227406,240.5,-24.5,55557.40633,0.000013754
GRB130925164,41.183,-26.134,56560.16416,6.34E-07
GRB130925173,41.183,-26.134,56560.17323,0.000084767
GRB120608489,229.98,-26.12,56086.48879,4.83E-07
GRB120920003,27.12,-26.12,56190.00316,1.00E-06
GRB131008858,328,-25.98,56573.85837,8.23E-06
GRB140905454,340.5,-25.94,56905.454,0.000027462
GRB140628626,226.03,-25.83,56836.62611,1.47E-06
GRB120908938,230.64,-25.79,56178.93819,5.16E-06
GRB101127102,70.95,-11.32,55527.10244,3.09E-06
GRB090804940,130.4,-11.3,55047.93982,0.000014426
GRB150703149,135.8,-11.19,57206.14868,5.02E-06
GRB140320092,281.86,-11.17,56736.0922,1.02E-07
GRB110424758,293.31,-11.12,55675.75806,4.65E-08
GRB100926694,43.58,-11.1,55465.69438,1.37E-06
GRB121004211,137.46,-11.02,56204.21063,3.79E-07
GRB151021791,104.34,-10.96,57316.79131,0.000012258
GRB140211091,115.84,-13.59,56699.09075,7.37E-07
GRB130717734,256.59,-13.57,56490.73357,1.87E-06
GRB160523919,261.14,-13.45,57531.91918,7.60E-06
GRB141114687,6.75,-13.42,56975.68699,3.59E-06
GRB091020977,187.8,-13.4,55124.97679,0.000010749
GRB150723608,149.86,-12.93,57226.6078,2.45E-06
GRB110117626,129.51,-12.88,55578.62601,3.03E-06
GRB140302342,253.859,-12.8782,56718.34235,5.96E-06
GRB110717319,312.84,-14.84,55759.3194,0.00004245
GRB150105257,124.32,-14.78,57027.25695,0.000032433
GRB081124060,340.1,-14.6,54794.05985,8.59E-06
GRB120913997,213.644,-14.535,56183.99721,0.00002028
GRB130131511,189.63,-14.48,56323.51057,0.000039205
GRB130704560,65.56,-14.46,56477.55981,0.000024271
GRB080808772,96.7,-14.4,54686.77199,0.000007073
GRB150811849,186.348,-14.105,57245.84877,3.43E-06
GRB111001804,340.01,-15.33,55835.80415,1.90E-07
GRB130114019,310.19,-15.32,56306.0188,1.11E-06
GRB110318552,338.274,-15.282,55638.55158,8.15E-06
GRB100728095,88.761,-15.2561,55405.09549,0.00012788
GRB081017474,109,-15.2,54756.47404,0.000001389
GRB140512814,289.371,-15.1,56789.81369,0.000029345
GRB111010899,77.02,-14.96,55844.89877,9.59E-07
GRB130515430,312.84,-14.95,56427.42952,1.01E-06
GRB110624906,65.02,-15.95,55736.90585,2.78E-07
GRB110901230,141.28,-15.79,55805.23037,1.51E-06
GRB100207721,321.78,-15.78,55234.72118,4.34E-07
GRB100301068,110.14,-15.68,55256.06758,2.84E-07
GRB100722096,238.77,-15.61,55399.09626,8.31E-06
GRB120524134,358.15,-15.61,56071.13397,2.53E-07
GRB150501017,50,-15.57,57143.01676,0.000001461
GRB110523344,219.03,-15.42,55704.34438,2.23E-06
GRB160515819,80.57,-16.31,57523.81853,6.00E-06
GRB080817161,148.9,-16.3,54695.16123,0.00005325
GRB150424403,182.759,-16.212,57136.40277,3.85E-06
GRB120831901,144.02,-16.21,56170.90106,2.51E-07
GRB101201418,1.955,-16.196,55531.41794,0.000023743
GRB111117526,27.16,-16.11,55882.5264,1.42E-06
GRB080807993,101.7,-16,54685.99343,7.30E-06
GRB110410133,30.94,-15.95,55661.13255,6.41E-06
GRB090810781,116.43,-17.48,55053.78107,5.15E-06
GRB120130699,150.04,-17.45,55956.69943,6.61E-06
GRB141102112,223.23,-17.42,56963.11199,7.36E-08
GRB100221368,27.12,-17.41,55248.36836,1.83E-06
GRB110204179,1.82,-17.4,55596.1786,3.10E-06
GRB081230871,207.6,-17.3,54830.87061,1.81E-07
GRB101129652,157.75,-17.25,55529.65245,8.63E-07
GRB130310840,142.34,-17.23,56361.84006,0.000011295
GRB090820509,318.26,-18.58,55063.50922,1.34E-06
GRB160220059,236.952,-18.565,57438.05934,6.19E-07
GRB100820373,258.79,-18.51,55428.3729,2.99E-06
GRB081101167,213.3,-18.5,54771.16713,1.39E-06
GRB150727793,203.99,-18.36,57230.79301,4.42E-06
GRB130416770,51.21,-18.25,56398.77006,9.39E-07
GRB120212383,43.105,-18.025,55969.38291,1.15E-06
GRB090520876,131.3,-18,54971.87612,6.18E-06
GRB100707032,351.07,-6.57,55384.0324,0.00008772
GRB090625234,20.29,-6.43,55007.23403,1.35E-06
GRB080906212,182.8,-6.4,54715.21194,5.87E-06
GRB131214705,183.94,-6.34,56640.7055,0.000072171
GRB140327065,283.12,-6.15,56743.06465,8.79E-07
GRB151026169,228.04,-6.13,57321.16883,1.80E-06
GRB110921444,6.09,-5.83,55825.44361,5.90E-06
GRB130504314,347.952,-5.739,56416.31393,4.81E-06
GRB130908677,219.16,-7.2,56543.67666,2.92E-06
GRB120118709,124.866,-7.182,55944.7086,2.66E-06
GRB130924255,28.77,-7.14,56559.25473,3.73E-06
GRB160310016,98.78,-7.11,57457.01595,4.44E-06
GRB101104810,161.02,-7.08,55504.80988,8.93E-07
GRB150613995,228.54,-7.07,57186.99487,6.38E-06
GRB111017657,8.1,-7.01,55851.65652,0.00002071
GRB100330856,326.38,-6.97,55285.85611,6.20E-07
GRB110618760,147.05,-7.48,55730.75991,9.78E-06
GRB101031625,184.12,-7.47,55500.62468,2.22E-07
GRB120223933,219.61,-7.46,55980.93321,3.88E-06
GRB090326633,259.7,-7.4,54916.63252,1.70E-06
GRB120604220,163.87,-7.4,56082.21981,1.23E-06
GRB090929190,51.7,-7.34,55103.18963,8.18E-06
GRB120411925,38.07,-7.24,56028.9253,1.46E-06
GRB080912360,25.8,-7.2,54721.36037,0.000002134
GRB140206275,315.26,-8.52,56694.27515,0.00012308
GRB120129312,26.52,-8.51,55955.31197,8.93E-08
GRB101025146,240.19,-8.49,55494.14605,2.79E-07
GRB090217206,204.9,-8.4,54879.20605,0.000027523
GRB150127398,285.72,-8.37,57049.39773,0.000011347
GRB160104918,280.43,-8.34,57391.91767,2.73E-06
GRB100401297,290.8,-8.3,55287.2969,0.000001901
GRB090330279,160.2,-8.2,54920.27942,0.000011813
GRB081120618,205.4,-9.1,54790.61776,1.94E-06
GRB120817057,259.97,-9.07,56156.05706,1.04E-06
GRB160710233,41.47,-9.03,57579.23304,1.38E-06
GRB090319622,283.3,-8.9,54909.62194,6.03E-06
GRB140104731,218.81,-8.9,56661.73059,0.000033261
GRB120429003,165.98,-8.76,56046.00286,2.79E-07
GRB140106345,2.34,-8.75,56663.34495,2.46E-06
GRB110426629,219.93,-8.72,55677.62947,0.000033079
GRB081206987,54.3,-8.6,54806.98739,1.13E-06
GRB150216415,120.68,-9.52,57069.41525,2.29E-06
GRB160621497,307.54,-9.48,57560.49717,4.65E-06
GRB130720582,338.03,-9.4,56493.58172,0.000099969
GRB090829702,354.99,-9.36,55072.70185,4.81E-06
GRB120907017,74.7499,-9.315,56177.01695,8.09E-07
GRB090405663,221.9,-9.2,54926.66298,2.54E-07
GRB090413122,266.5,-9.2,54934.12219,3.23E-06
GRB160225720,80.59,-9.19,57443.71991,0.00014483
GRB150101641,188,-10.956,57023.64137,2.38E-07
GRB140526571,142.99,-10.95,56803.57147,1.58E-07
GRB090514006,12.3,-10.9,54965.00601,6.46E-06
GRB110503145,70.51,-10.9,55684.14475,1.87E-06
GRB110923835,323.4,-10.89,55827.8347,4.09E-06
GRB130123843,314.57,-10.87,56315.84328,1.49E-06
GRB110207470,12.542,-10.806,55599.47037,2.49E-06
GRB081024851,145.8,-10.8,54763.85109,6.27E-06
GRB140712706,319.28,-10.72,56850.70627,2.11E-06
GRB131230808,73.05,4.84,56656.80845,4.11E-06
GRB120415891,190.69,4.91,56032.89145,1.30E-07
GRB130626596,24.89,4.93,56469.59551,4.82E-06
GRB110729142,353.39,4.97,55771.14243,0.000046399
GRB110722694,215.06,5,55764.69394,0.00002114
