name,ra,dec
3FGL J0244.8-5818,41.2078,-58.3163
3FGL J1021.9-5815c,155.4835,-58.2649
3FGL J1600.3-5810,240.0762,-58.1686
3FGL J1039.1-5809,159.789,-58.1572
3FGL J1030.0-5809,157.509,-58.1535
3FGL J1125.1-5803,171.2951,-58.0638
3FGL J1717.6-5802,259.4083,-58.0438
3FGL J1503.5-5801,225.8925,-58.0294
3FGL J1447.3-5800,221.8308,-58.0049
3FGL J0230.6-5757,37.6712,-57.9566
3FGL J1024.3-5757,156.085,-57.9515
3FGL J0852.6-5756,133.1714,-57.9461
3FGL J1510.2-5754,227.5697,-57.9156
3FGL J1020.0-5749,155,-57.8172
3FGL J1645.2-5747,251.3234,-57.7898
3FGL J1023.1-5745,155.7905,-57.7592
3FGL J1411.8-5743,212.9744,-57.7172
3FGL J1628.1-5740,247.0336,-57.6754
3FGL J1308.7-5738,197.1989,-57.6394
3FGL J1044.5-5737,161.1292,-57.6295
3FGL J0049.8-5737,12.4626,-57.6245
3FGL J1521.9-5736,230.4855,-57.6111
3FGL J1233.9-5736,188.4973,-57.6069
3FGL J2040.0-5734,310.007,-57.575
3FGL J0904.8-5734,136.2176,-57.5705
3FGL J1013.6-5734,153.4117,-57.5694
3FGL J1034.0-5731c,158.5155,-57.5174
3FGL J1026.2-5730,156.5597,-57.5166
3FGL J0434.0-5726,68.5086,-57.4418
3FGL J0537.4-5717,84.3624,-57.2929
3FGL J1002.5-5709,150.646,-57.1629
3FGL J1008.6-5706,152.1718,-57.1129
3FGL J1256.1-5703,194.0446,-57.0504
3FGL J0059.1-5701,14.7956,-57.0218
3FGL J1025.7-5659c,156.4429,-56.9997
3FGL J1832.4-5659,278.1166,-56.9956
3FGL J1702.8-5656,255.7198,-56.9357
3FGL J1335.1-5655,203.7828,-56.9237
3FGL J2344.9-5647,356.2254,-56.7897
3FGL J0019.1-5645,4.7967,-56.7515
3FGL J2144.6-5640,326.1545,-56.6796
3FGL J1954.9-5640,298.7433,-56.6756
3FGL J1512.8-5639,228.2034,-56.6655
3FGL J1648.6-5635,252.1656,-56.5841
3FGL J0325.2-5634,51.3226,-56.5693
3FGL J0742.6-5623,115.6733,-56.3903
3FGL J1223.0-5622,185.7521,-56.3765
3FGL J2039.6-5618,309.918,-56.3121
3FGL J2127.1-5615,321.7843,-56.2553
3FGL J1551.1-5610,237.7794,-56.1751
3FGL J0802.3-5610,120.5829,-56.1688
3FGL J1552.9-5610,238.2312,-56.1688
3FGL J1723.5-5609,260.8811,-56.1606
3FGL J1328.9-5607,202.2404,-56.1309
3FGL J1400.7-5605,210.175,-56.091
3FGL J0228.3-5545,37.0784,-55.7618
3FGL J2051.8-5535,312.9691,-55.5954
3FGL J1304.3-5535,196.0915,-55.5846
3FGL J1419.1-5534,214.7841,-55.5769
3FGL J0543.9-5531,85.9775,-55.5318
3FGL J2258.3-5526,344.5986,-55.4393
3FGL J2333.0-5525,353.2636,-55.4265
3FGL J0032.3-5522,8.0939,-55.3688
3FGL J1244.3-5515,191.0847,-55.2568
3FGL J0845.1-5458,131.2966,-54.9736
3FGL J0646.4-5452,101.6014,-54.878
3FGL J0150.5-5447,27.6263,-54.7877
3FGL J0253.1-5438,43.2963,-54.6493
3FGL J0626.0-5436,96.5207,-54.607
3FGL J0506.9-5435,76.7431,-54.5837
3FGL J1128.6-5434,172.1613,-54.5792
3FGL J1824.2-5427,276.0516,-54.4517
3FGL J1858.0-5423,284.5008,-54.3915
3FGL J1645.9-5420,251.4836,-54.3489
3FGL J2132.4-5420,323.1082,-54.3474
3FGL J2042.3-5416,310.5964,-54.2694
3FGL J0540.5-5416,85.1484,-54.2681
3FGL J1702.0-5414,255.5041,-54.2473
3FGL J1325.2-5411,201.3143,-54.1859
3FGL J1946.4-5403,296.6144,-54.057
3FGL J0049.4-5401,12.3533,-54.0225
3FGL J0401.0-5359,60.2591,-53.9863
3FGL J0643.4-5358,100.851,-53.9723
3FGL J1103.9-5357,165.977,-53.9541
3FGL J1457.6-5355,224.4122,-53.9259
3FGL J1549.1-5347c,237.2999,-53.7842
3FGL J2207.8-5345,331.9503,-53.764
3FGL J1616.8-5343,244.2054,-53.7243
3FGL J0132.1-5340,23.0448,-53.6735
3FGL J1117.2-5338,169.3065,-53.6485
3FGL J0413.6-5334,63.401,-53.5809
3FGL J0425.0-5331,66.2663,-53.5184
3FGL J1552.8-5330,238.2121,-53.5131
3FGL J1315.1-5329,198.7862,-53.4883
3FGL J1658.4-5323,254.6207,-53.3895
3FGL J1641.5-5319,250.3777,-53.3237
3FGL J1911.1-5318,287.7949,-53.3026
3FGL J1554.4-5315c,238.6102,-53.2619
